state,classification
AK,Gunshot
AK,Gunshot
AK,Gunshot
AK,Gunshot
AK,Gunshot
AK,Gunshot
AK,Gunshot
AK,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Death in custody
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Gunshot
AL,Struck by vehicle
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Death in custody
AR,Taser
AR,Gunshot
AR,Death in custody
AR,Gunshot
AR,Gunshot
AR,Struck by vehicle
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AR,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Death in custody
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
AZ,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Death in custody
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Taser
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Death in custody
CA,Death in custody
CA,Struck by vehicle
CA,Gunshot
CA,Gunshot
CA,Struck by vehicle
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Death in custody
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Gunshot
CA,Death in custody
